branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",1.0827,0.0614,17.6373,0.0,2.3263,Informative,3.2087,Informative,0.00905295470304,287,c1
"(A2, Node1*)",1.081,0.0615,17.589,0.0,2.3263,Informative,3.2087,Informative,0.00554188884054,287,c1
"(Node2*, Node1*)",1.0803,0.0638,16.9247,0.0,2.3263,Informative,3.384,Informative,0.00475376054976,287,c1
"(Node3*, Node2*)",1.0792,0.0638,16.9198,0.0,2.3263,Informative,3.384,Informative,0.00601700477316,287,c1
"(Node4*, Node2*)",1.0801,0.0639,16.9149,0.0,2.3263,Informative,3.5293,Informative,0.0051459091845799994,287,c1
"(A3, Node3*)",1.0779,0.0614,17.544,0.0,2.3263,Informative,3.2087,Informative,0.00635033506576,287,c1
"(A4, Node3*)",1.0798,0.0613,17.6104,0.0,2.3263,Informative,3.2087,Informative,0.0053706486500999994,287,c1
"(Node5*, Node4*)",1.0809,0.0639,16.916,0.0,2.3263,Informative,3.5293,Informative,0.012177442462740001,287,c1
"(Node8*, Node4*)",1.0435,0.0641,16.2665,0.0,2.3263,Informative,3.6047,Informative,0.48891919842239995,287,c1
"(Node6*, Node5*)",1.0822,0.0639,16.938,0.0,2.3263,Informative,3.384,Informative,0.00658098013768,287,c1
"(Node7*, Node5*)",1.0829,0.0639,16.9394,0.0,2.3263,Informative,3.384,Informative,0.0070393013115599996,287,c1
"(Node9*, Node8*)",1.0881,0.0643,16.9295,0.0,2.3263,Informative,3.5293,Informative,0.00385156596422,287,c1
"(Node12*, Node8*)",1.0896,0.0643,16.9337,0.0,2.3263,Informative,3.5293,Informative,0.01966891267006,287,c1
"(A5, Node6*)",1.0826,0.0614,17.6264,0.0,2.3263,Informative,3.2087,Informative,0.007427605791439999,287,c1
"(A6, Node6*)",1.0825,0.0614,17.6231,0.0,2.3263,Informative,3.2087,Informative,0.009756569062439999,287,c1
"(A7, Node7*)",1.0835,0.0614,17.6357,0.0,2.3263,Informative,3.2087,Informative,0.00507033710982,287,c1
"(A8, Node7*)",1.0838,0.0614,17.6391,0.0,2.3263,Informative,3.2087,Informative,0.011998144036079999,287,c1
"(Node10*, Node9*)",1.0905,0.0644,16.9309,0.0,2.3263,Informative,3.384,Informative,0.005998495552539999,287,c1
"(Node11*, Node9*)",1.0904,0.0645,16.9117,0.0,2.3263,Informative,3.384,Informative,0.0091113439085,287,c1
"(Node13*, Node12*)",1.0877,0.0642,16.9295,0.0,2.3263,Informative,3.384,Informative,0.0084380651067,287,c1
"(Node14*, Node12*)",1.0895,0.0643,16.9345,0.0,2.3263,Informative,3.384,Informative,0.012331623864439999,287,c1
"(B1, Node10*)",1.0905,0.0616,17.6945,0.0,2.3263,Informative,3.2087,Informative,0.00776038581844,287,c1
"(B2, Node10*)",1.0897,0.0617,17.6712,0.0,2.3263,Informative,3.2087,Informative,0.005875909632519999,287,c1
"(B3, Node11*)",1.0899,0.0617,17.6575,0.0,2.3263,Informative,3.2087,Informative,0.01158976239004,287,c1
"(B4, Node11*)",1.092,0.0616,17.7214,0.0,2.3263,Informative,3.2087,Informative,0.006761910066639999,287,c1
"(B5, Node13*)",1.0875,0.0616,17.6572,0.0,2.3263,Informative,3.2087,Informative,0.0055181486034,287,c1
"(B6, Node13*)",1.0873,0.0616,17.6556,0.0,2.3263,Informative,3.2087,Informative,0.01054103130344,287,c1
"(B7, Node14*)",1.0886,0.0616,17.6704,0.0,2.3263,Informative,3.2087,Informative,0.00734540293496,287,c1
"(B8, Node14*)",1.0888,0.0616,17.6801,0.0,2.3263,Informative,3.2087,Informative,0.011385526465279999,287,c1
